STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
USC00463464,"GLADY 1 N, WV US",38.8072,-79.7172,865.6,2000,
USC00463464,"GLADY 1 N, WV US",38.8072,-79.7172,865.6,2001,45.89
USC00463464,"GLADY 1 N, WV US",38.8072,-79.7172,865.6,2002,58.84
USC00463464,"GLADY 1 N, WV US",38.8072,-79.7172,865.6,2003,65.77
USC00463464,"GLADY 1 N, WV US",38.8072,-79.7172,865.6,2004,60.76
USC00463464,"GLADY 1 N, WV US",38.8072,-79.7172,865.6,2005,50.28
USC00463464,"GLADY 1 N, WV US",38.8072,-79.7172,865.6,2006,50.58
USC00463464,"GLADY 1 N, WV US",38.8072,-79.7172,865.6,2007,64.47
USC00463464,"GLADY 1 N, WV US",38.8072,-79.7172,865.6,2008,56.13
USC00463464,"GLADY 1 N, WV US",38.8072,-79.7172,865.6,2009,48.57
USC00463464,"GLADY 1 N, WV US",38.8072,-79.7172,865.6,2010,
